mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
0.4060094,0.1056883,0.4284119,1.2908860,-0.2176326,-0.8871997,0.8033791
-0.1344131,-0.7137541,0.0309941,1.1327426,0.4808251,0.4290622,0.8908406
0.9466784,-0.5850200,0.1274689,-1.0664492,-0.7544005,-0.3066980,-0.9502606
-0.3497687,-0.8960848,0.2810742,0.4255787,0.0018467,-0.7432097,0.3847277
0.0811170,-0.4864546,-1.2059495,-0.8247101,0.4853668,-0.8892925,-0.6236759
-0.7322657,-1.1418210,-0.8222132,0.0436435,-0.7306587,-0.0038340,-0.1793557
0.7501663,-0.4660679,0.2076364,0.2496072,0.2174085,0.9923033,-0.8944746
0.4630080,-0.4200962,-0.4407620,-0.7135347,-0.2114034,0.8079443,0.3464544
0.7904432,-1.2674659,-0.2838784,0.0509035,-0.6644033,-0.0301211,0.3586867
0.8209636,0.2326333,1.1923673,-0.8002914,0.3040941,0.9147137,0.2220191
0.5734354,0.0789337,-1.0802643,0.3338254,0.3361080,-0.2458517,0.0204465
-0.4464835,-0.0375203,0.2665904,-1.4185953,0.4320568,0.2812366,-0.8702362
-0.7793467,0.1661387,0.0799185,-1.0475730,0.1539156,-0.7925996,-0.1173433
0.4895123,-0.1937880,-0.2704797,0.5100620,-0.7421344,0.9763541,0.3991737
0.5619597,0.7920408,-0.5468793,-0.1351063,-0.1980523,-0.3361439,-0.5410031
-0.8619444,0.0002324,0.2821505,-0.4543803,-0.8355441,-0.3945848,-0.2919034
0.5965127,0.8745672,-0.5051003,1.2312977,-0.0241671,-0.6859214,0.8282624
-0.8702515,-0.1291421,-0.3129496,0.5841298,0.6987582,-0.0477375,-0.0702633
0.9566238,-0.1615412,-0.6960371,0.3455734,-0.1803155,-0.0498968,-0.3460213
0.6216321,0.6299423,-0.0908149,0.4853186,0.0319637,-0.4075810,-0.5487401
0.1964196,0.2400776,0.6579645,-0.4020183,0.0844861,0.9972169,-0.3899018
-0.9396809,-0.7723179,-0.4869995,-0.4052675,-0.1672255,0.1492797,0.8093284
-0.4684674,-0.8833779,-0.2269468,-1.0084726,0.0301588,0.0679755,-0.9932600
0.8498433,-0.6659035,0.0475658,0.5870577,0.6320380,0.7736943,0.2311633
-0.3359984,-0.3519129,0.6033128,0.6870970,0.5639474,-0.1582204,-0.3466464
-0.3515664,-0.0858574,0.6143581,-0.3418368,0.1502922,0.7018123,-0.1011798
