mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
-0.6386318,0.7508507,-0.8069695,0.1138863,0.7815007,-0.5479877,-0.6308403
-0.2635628,-0.6370561,1.3786873,1.1226692,-0.1878670,0.9811658,0.4192910
-0.3553728,-0.1453485,0.5620826,-0.0871640,0.5213535,0.9608861,0.0207266
-0.1477697,-0.2941284,0.4246383,0.3385741,0.3776593,0.1755756,-0.5218183
-0.8089011,0.0137767,0.1381466,0.0433541,-0.4174151,0.4034470,0.9817737
-0.6359143,0.5116271,-1.0295470,0.1072958,-0.6876626,-0.7609614,0.0135459
0.1244704,-0.8727073,-0.3099244,0.6048838,-0.1858205,0.5144763,-0.3284299
-0.6644670,0.9715651,0.7068700,0.0813869,0.9924051,0.0291477,-0.2127531
0.3700644,-0.5816714,-0.1336456,0.1179787,0.4272077,-0.7981484,-0.8863696
-0.9902074,0.8356765,-1.1814287,-0.3889213,0.4607581,-0.5536625,0.4744011
0.7730955,-0.3618338,-0.5516603,-0.2691022,-0.0944195,-0.0792161,-0.3333367
0.7197599,-0.1094289,0.3534982,-0.8231791,0.9106226,0.0305300,0.2430563
0.9030277,-1.3081193,-0.8218297,0.1902197,-0.7355988,0.2957317,-0.1657447
0.6916089,0.5490250,-0.0304694,0.2390416,0.1028819,0.0432898,-0.9247202
-0.4363600,0.0771288,0.0684953,-0.5461146,-0.8249967,-0.9623719,0.2343013
0.0805838,0.1552480,1.0205638,-0.2718374,0.3936721,0.2391980,-0.1443632
0.3042948,-1.0655695,-1.3368083,-0.0524703,-0.6705942,-0.8710039,-0.5195855
-0.4061930,0.3858835,-0.0540524,-0.2211760,-0.0776889,-0.7374445,0.9868174
-0.9748070,0.2035816,-0.6320146,-0.4483826,-0.2045275,0.6117783,-0.0744316
-0.0295241,0.4533160,-1.3097136,-1.0232375,-0.3921818,-0.9391657,-0.1485965
-0.9985096,0.5849127,1.1099081,0.0623390,0.5697603,0.8057333,-0.4868923
0.8991661,1.1144565,-0.3523816,-0.6178319,0.3594573,-0.6918079,-0.2216110
-0.7182317,0.0090443,-0.3211416,-0.7451421,0.8765929,-0.1726964,-0.1042058
-0.3279346,-1.0166732,1.3119793,0.9893420,-0.9115120,0.9812324,0.6936010
-0.3036937,-0.7868829,-0.8289729,-0.8004118,0.3420990,-0.7479552,-0.9964182
-0.0881407,-0.4459685,-0.2282042,-0.0369753,0.9925076,0.5102117,0.3039986
0.3519648,0.5129806,-0.9938170,1.1040795,-0.6108486,-0.1524062,0.9406945
-0.7342557,0.2318868,-0.3345857,-0.2720149,-0.8860208,-0.3421487,-0.4196490
-0.7975327,-0.5203410,-0.8165696,0.1970588,-0.3188497,-0.1810434,0.5965703
-0.9767507,0.1353911,0.1585728,0.3081757,0.1287795,-0.8831584,0.7461340
0.1212871,0.8497810,0.1163925,-0.9732553,0.4454570,0.1325201,-0.8930149
