mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
0.3860024,0.9685737,0.2749543,-0.8667738,0.3481185,-0.8222970,0.1241273
0.0090742,0.6446862,0.4805743,0.8283508,0.1013731,0.2441041,-0.3341059
-0.5196084,-0.8448548,0.3633486,0.3839297,-0.4176638,-0.3246745,-0.1381264
-0.7360533,-0.3619728,0.5669482,0.3817659,0.7514279,0.7972370,0.8540070
0.8805511,0.4475530,0.9380351,0.4354120,0.1613778,0.4160914,0.3377163
-0.4905036,0.6876897,-0.1279737,0.7755591,0.1877928,0.8203655,0.5139754
-0.7108341,0.2786923,-0.4673517,-0.6191672,0.4284456,0.7055556,-0.7774489
-0.9892182,-0.7975216,-0.2891980,-0.6105267,-0.3568060,-0.7472452,0.2294911
-0.6053782,-0.7415797,-0.0097588,-0.4539630,0.4168564,-0.1865138,0.5417265
-0.4217657,-0.3587361,0.0500860,-0.1091187,0.8233720,0.3412863,-0.3936986
0.0111649,-0.2252874,-1.2296503,-0.1647250,-0.7738785,-0.6998538,-0.9301118
0.6545671,-1.3010060,-0.5191296,1.1353873,-0.6134171,0.3768640,0.9400773
0.0297768,0.9694249,-0.2038984,0.7741852,0.6796105,-0.7469335,0.6995716
0.0964669,0.2146180,-0.1983317,0.5559181,0.2961303,-0.8792592,-0.2375681
0.1195023,0.2738672,0.6132374,-0.6538352,-0.3763211,0.4890099,0.4309980
-0.1501996,1.1865835,0.8975492,-0.9107729,0.7948577,0.7933254,-0.8302836
-0.8185593,0.0700936,-0.7505258,0.0290255,-0.2001919,0.2793622,-0.3643839
-0.5205814,0.3319187,-0.3765696,0.7011774,-0.4010186,0.5764858,0.2505866
0.8951117,0.7768524,-0.7961066,0.0872547,0.1592536,0.3817517,0.1452813
0.7829325,-0.2992795,-0.8851381,-0.2987173,-0.3400823,-0.9228346,0.1371005
-0.5452245,0.8908309,0.5151217,0.0599331,0.0406802,0.4166105,0.8474337
0.8404883,-0.6898274,-0.6078324,-0.2321971,-0.7715987,-0.1817625,0.8957924
